State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,776.1,763.9,756.4,782.3,704.7,708.7,686,670.1,650.5,649,647.9,604.6,517.9,569.1,535.3,503.7,497.3,520.2,491.4,482,452.3,461.1,428.2,401,420.4,-45.80%,-355.8,4.80%,19.3
Alaska,976.7,1028,1056,"1,105.80","1,038.70",994.2,"1,012.90","1,048.60","1,040.00",923.1,843.8,762.4,663.2,680.4,670.7,620.3,615.2,626.2,639.9,615.7,621.7,647.2,641.5,709.5,764.2,-21.80%,-212.5,7.70%,54.7
Arizona,364.1,355.8,347.9,354.2,354.8,334.1,327.2,326,316.1,316.9,302.4,293.1,295.2,309.5,306.7,290.7,296.8,289.4,279,267.7,258.6,251.9,238.2,214.1,210,-42.30%,-154,-1.90%,-4.1
Arkansas,688.2,702.9,691,723.8,689.1,657.3,626.5,597.1,589.1,570.9,578.8,583.2,547.3,585.5,581.3,544.3,573.4,566.9,502.3,503.8,513.7,543.6,501.6,444.2,467.2,-32.10%,-221,5.20%,23
California,289.5,275.7,259.9,246.3,252.7,248.7,232.4,239.1,224.9,219.4,219.4,211.3,208.3,196.8,187.4,185.4,180.1,171.8,166.7,160.9,153.2,152.4,143.7,127.4,124.5,-57.00%,-165,-2.30%,-2.9
Colorado,433.9,410.3,395.1,382.7,403.5,407,398.6,402.3,393.2,388.7,376.9,366.8,363.4,373.3,355,341.7,331.4,317.2,303.5,285,277.6,270.6,261.8,233.8,232.4,-46.40%,-201.5,-0.60%,-1.4
Connecticut,266.5,238.6,211.5,195.3,197,192.1,209.9,197.7,189,163.5,160.8,149.2,144.7,145.5,140.6,135.4,141,144.3,139.5,130.9,129.8,136.2,130.1,123.9,126.2,-52.60%,-140.3,1.80%,2.3
Delaware,437.4,394.3,373,386.6,347.8,377.5,377.9,344.2,362.2,338.7,348.7,350.9,282.5,295.1,283.4,278.4,286.9,261.2,255.6,268.4,279.5,295.9,281.6,266.6,278.6,-36.30%,-158.9,4.50%,12
District of Columbia,145.8,141.3,138.1,142.2,136.3,133.5,127.9,127.4,124.9,112.7,113.4,101.6,96.9,94.4,89,81.8,82,82.8,80.9,77.6,71.6,74.1,70.7,60.4,60.9,-58.20%,-84.9,0.90%,0.5
Florida,423.6,414.2,398.8,401.5,391.9,379.9,369,358.1,344.1,331.9,324.7,315.1,314.9,335.7,320.3,307.3,300.6,296.9,291.6,282.6,270.4,264.9,249.3,223.8,226.4,-46.50%,-197.2,1.20%,2.6
Georgia,492.7,464.6,443.1,451.5,429.6,435,435.3,437.1,431.1,421.5,419,407.8,403.7,429.3,397.3,344.7,342.2,342.9,321,305.1,290.1,286.4,265.9,238.5,236.5,-52.00%,-256.2,-0.80%,-2
Hawaii,334.9,344.1,335.7,335.1,344.2,358.3,358.7,354.6,343.4,337.9,342.4,273.7,276.9,293.1,291.7,282,275.7,266.3,260.9,256.1,258.9,254.5,259.5,212.8,232.5,-30.60%,-102.4,9.20%,19.7
Idaho,465.4,465.4,451.3,454.9,481.6,445.8,424.8,424.3,390,361.4,391.8,359.4,353.3,376.9,333.7,341.7,364.5,337.2,348.6,341,330,310.9,312.1,303.5,310.3,-33.30%,-155.1,2.30%,6.8
Illinois,399.1,373.2,352.4,339.9,323,320.5,317.7,319.1,326.5,306,309.3,308.7,293.4,298.8,291.5,270.4,284.9,283.1,260.8,253.1,249.6,253.4,239.8,212.8,214.7,-46.20%,-184.3,0.90%,1.9
Indiana,886.1,842.9,847,848.1,839.7,838.5,824.8,798.4,786.9,761.5,760.7,750.5,739.4,723.4,698.4,665.9,677.4,664.4,631.9,598.2,564.5,569.7,545.8,509.3,514,-42.00%,-372.1,0.90%,4.6
Iowa,687.4,697.2,695.5,665,667.7,656.8,633.3,585.2,570.3,567.5,571.2,589.2,570.7,573.4,551.7,493.7,504.5,486.3,440.2,432.3,436,455.7,428.7,374.2,384.6,-44.10%,-302.9,2.80%,10.3
Kansas,667.9,623.8,631.7,633.6,594.6,614.6,629.8,608.2,574.5,551.4,540.1,518.1,514.8,510.6,496.9,459.9,464.2,455.1,420.7,391.4,351,371.4,354.1,324.8,325.4,-51.30%,-342.5,0.20%,0.6
Kentucky,942.6,901.2,918.2,939.7,953.9,999.4,939.9,951.9,921.8,903.5,922.9,911.1,901.1,891.7,848.9,814.7,774.1,742.5,708.1,686.5,644.8,663.2,623,580,593.1,-37.10%,-349.5,2.30%,13.1
Louisiana,1108.5,996.4,970.1,"1,067.10",941.2,946,893.5,877.7,803.3,847.7,946.2,906.4,845.8,843.3,901.1,855.2,848.1,818.7,819.3,852.8,872.7,855.9,861.6,866.5,885.6,-20.10%,-222.9,2.20%,19.2
Maine,453.7,423.6,415.8,431,391.1,394.8,402.1,387.9,373.1,345.9,357.6,335,322.1,308.3,305,284,292.8,293.8,298.1,278.3,262.7,251.7,242.6,232.1,231.8,-48.90%,-221.9,-0.20%,-0.4
Maryland,377.1,367.6,367.5,357.9,352,362.3,360.6,340.6,333.8,301.8,301.9,281.8,278.4,271.8,250.1,238.6,237.8,238.5,227.8,212.7,193.1,200.7,190.4,170.8,174.7,-53.70%,-202.4,2.30%,3.9
Massachusetts,296.3,278,269.4,262.5,259.9,261.3,253.6,244.4,242.3,219.4,220.1,207.4,196.2,192.9,181.6,171.5,183.5,177.4,173.9,163.9,162.1,159.3,158.7,141.7,140,-52.70%,-156.2,-1.20%,-1.7
Michigan,485,493.6,485.6,465.3,451.4,436.3,441.6,427.1,421.6,412.5,409.7,415.1,430.3,411,393.3,370.7,384.1,377.2,357.8,333.9,331,340.4,329,300.4,295.6,-39.10%,-189.5,-1.60%,-4.8
Minnesota,459.8,431.4,426.3,416,409.8,415.8,429.7,402.9,385.8,376.9,380.2,372.5,351.8,345.2,336.5,315.8,324.1,323.4,292,287.6,289.1,294.5,277.2,251.7,253.9,-44.80%,-205.9,0.90%,2.2
Mississippi,750.3,758.5,803.4,787.1,768.1,759.9,766,748.6,699.4,706.1,705.8,667,634.6,648.9,610.5,594.4,574.7,592.5,559.5,574.2,564.2,588.2,563,556.8,538.1,-28.30%,-212.2,-3.40%,-18.7
Missouri,560.3,571.5,564.3,532.9,550.1,545.3,541.6,531.2,541.8,534,532.9,506,485.9,505.8,496,466.3,481.5,487.9,455.9,439.9,434.3,443.5,414.7,401.5,407.1,-27.40%,-153.3,1.40%,5.6
Montana,703.1,772.8,735.1,794.4,745.7,717.2,721.1,727,712.6,703.4,732.2,702.4,654,615,546.1,540.2,563.4,538,524.3,525.1,517.3,520.3,548.4,482,487.9,-30.60%,-215.2,1.20%,5.9
Nebraska,550.4,566.8,526.4,528.9,520.5,508.5,506.9,480.8,479.1,472.6,461.8,487.8,480.2,485.5,486.6,487.9,487.1,445.8,413.9,409.6,406,429.3,402.3,376.9,371.6,-32.50%,-178.8,-1.40%,-5.3
Nevada,425.7,410.3,401,400.9,401.2,379.3,382.5,362.4,344,321.6,315.7,305.7,304.5,324.2,309.5,304.6,313,316.6,280.7,281.1,279.2,276.8,264.1,247,245.5,-42.30%,-180.2,-0.60%,-1.5
New Hampshire,267,250.8,251.6,260.7,254,254.4,260.1,249.1,236.5,217,207,204.5,198.3,180.9,185.4,170.5,163.7,170.8,167.2,148.9,152.2,160.4,149.3,140.3,134.6,-49.60%,-132.4,-4.00%,-5.7
New Jersey,341.7,308.8,306.6,290.2,281.1,276.2,282.5,290.9,293.3,269.7,281,266.4,242.3,225.9,225.6,207.3,207,211.9,202.5,201.4,188.1,197,188.1,170.3,170.9,-50.00%,-170.8,0.40%,0.6
New Mexico,688.2,683.7,656.7,668.2,671.2,647.5,632.4,602.9,591.1,578.6,575.9,542.5,519.4,515.9,530.5,520.8,527.2,509.2,504,486.2,490.5,459,461.2,440.5,442,-35.80%,-246.1,0.30%,1.5
New York,211.7,206,200.6,200.9,190.7,189.5,200.8,197.7,187.1,164.3,167.1,161.3,145.3,149.7,140,127.4,129.3,132.3,128.6,123.8,120.4,124.1,115.3,101.9,106.7,-49.60%,-105.1,4.70%,4.8
North Carolina,464.6,445.3,429.7,440,426.5,422.3,406.4,410.2,397.9,365,373.5,355.6,336.8,363.2,330.6,307.9,297,298.2,280.9,274,258.2,261.6,252.9,223.3,225.7,-51.40%,-238.9,1.10%,2.4
North Dakota,1278.7,1206.5,1274.4,"1,266.50","1,337.20","1,256.00","1,195.20","1,169.50","1,144.80","1,107.80","1,108.60","1,036.60",958.7,929.9,889.4,769.6,799.9,782.5,760.8,759.7,768.5,787.1,784.8,718.5,811.3,-36.50%,-467.3,12.90%,92.8
Ohio,609.2,581.6,583,576,555.3,547.8,554,532.5,528.5,506.4,524.3,519.9,500.1,503.2,475.3,436.9,440.4,431.6,406.1,397,384.1,385.3,355.7,339.8,336.5,-44.80%,-272.7,-1.00%,-3.3
Oklahoma,836.6,808.5,789.4,806.4,785.4,750.6,756,703.5,698.8,671.1,649.4,630,599.6,621.6,604.3,551.5,550,540.9,481.3,464.9,459.2,455.1,416.3,400.4,425.8,-49.10%,-410.8,6.30%,25.4
Oregon,306.8,338,329,315.7,316.5,286.9,277.7,261.2,265.8,243,252.8,235.1,235.4,227.6,195.8,190.1,205.3,192,184,173.9,173.4,166.8,177.6,160.7,164.4,-46.40%,-142.5,2.30%,3.7
Pennsylvania,488,460.4,439.7,450.3,427.4,430.6,426.9,416.6,413.8,399.5,388.1,371.3,340,343,331.6,311.5,322.9,322,298.3,275.1,269.1,276.3,260.4,234.8,247.7,-49.20%,-240.3,5.50%,13
Rhode Island,316.2,309.8,301.5,269.1,267.6,262.5,278.2,263.9,250.6,227.8,230.1,216.1,223.2,216.9,205.7,203.1,215.7,220.7,216.5,195.6,191.4,207.9,197.8,182.9,184.6,-41.60%,-131.6,0.90%,1.7
South Carolina,515.6,514.1,509.7,520.9,509.4,493.4,486.3,522.6,484.8,485.3,460.7,455.4,436.9,457.5,420.4,389.5,366.1,381.7,364.1,342.7,329.6,335.4,300.1,276.1,291.3,-43.50%,-224.3,5.50%,15.2
South Dakota,452.7,477.6,451.6,475.4,503.5,460.1,455.2,449.6,438,427.3,442.5,445.7,410.5,396.8,343.8,349.6,377.2,363.4,338.5,333.3,338.9,343.6,335.6,310,282.9,-37.50%,-169.8,-8.70%,-27.1
Tennessee,584.9,559,564.3,583.8,573.6,560.1,544.7,522.9,522.1,524.7,526.3,502.2,438.8,475.8,441.4,401.1,384.5,404.5,383.9,379.5,348.9,334.8,315.5,287.2,300.2,-48.70%,-284.7,4.50%,13
Texas,736.8,699.9,661.2,663.9,642.2,640.9,628.6,589.8,553.8,519.7,500.3,485.9,464.7,472.5,469.2,439.9,446.4,437.1,409.3,408.3,405.4,397.7,387.1,361.2,369.3,-49.90%,-367.6,2.20%,8
Utah,638.2,621.5,589.2,611.7,584.8,559.9,556.2,553.4,533.1,499.2,476.6,463.7,455.4,448.3,449.4,438.3,449.8,420,404.9,375.5,363.9,349.1,335.6,316.3,305.2,-52.20%,-333,-3.50%,-11.1
Vermont,268.6,260.1,219.9,242,246.8,234.3,231.2,247.9,235,208.4,217.4,178.9,185.2,176,167.1,118.1,127.5,131.8,171.6,171.1,160,163.6,149.7,136.4,135.2,-49.60%,-133.3,-0.80%,-1.1
Virginia,429.7,412.6,400.4,412.3,394,393.3,393.6,388.5,378.3,360.8,367.4,339.5,314,321.5,298.7,277.7,288.9,293.1,280.6,273.3,259.1,264.5,248.9,227.2,231.3,-46.20%,-198.4,1.80%,4.1
Washington,261.2,293.9,267.6,272.3,277,217,227.5,232.8,225,212.3,208.4,198.5,207.1,193.8,171,160.3,173.1,162.5,162.6,159.8,152.5,141.4,154.2,110.9,116.8,-55.30%,-144.4,5.40%,5.9
West Virginia,1007.1,1040.6,994.3,"1,017.00",999,"1,023.30",965.9,979.2,957,966.8,"1,005.10",960.1,845.1,890.9,855.2,837.9,850,886.8,864.3,864.9,831,876.2,870.1,849.8,906.4,-10.00%,-100.7,6.70%,56.7
Wisconsin,542.8,503.1,503.9,502.7,486.3,490.3,465.2,461.9,462.3,422.9,426.8,429.8,405,397.6,387.4,353.1,385.9,388.1,363.1,349.3,358.1,359.3,333.7,317.3,319.8,-41.10%,-222.9,0.80%,2.5
Wyoming,1355.3,1355.8,1315.2,"1,280.30","1,236.30","1,210.80","1,235.10","1,175.40","1,117.10","1,033.70","1,038.80","1,005.90",985,"1,040.60","1,050.80","1,078.60","1,069.80","1,038.20",971.9,"1,007.40","1,074.30","1,102.70","1,055.10","1,004.50",973.1,-28.20%,-382.2,-3.10%,-31.4
Average all states,483.7,465.9,449.9,446.3,433.9,429.4,423.3,414.4,402,385.7,383.9,370.8,354.4,356.9,343.2,322,324,319.7,302.9,293.1,284.4,284.6,271.2,248,250.6,-48.20%,-233.1,1.00%,2.5
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
